,DSI_Title,Text
0,AC_Doc1_Trump-Trade-S-Korea.docx,"President Donald Trump just signed his first trade deal.

At a meeting in New York on Monday, Trump and South Korean President Moon Jae-in signed a revised version of the United States-Korea Free Trade Agreement, known as KORUS.

To be clear, the deal is not brand new — KORUS has been around since 2012. But the new version removes a few regulatory burdens for US automakers to export cars, extends a 25 percent US tariff on imported Korean trucks, and lifts a cap on US car exports to South Korea that don’t need to meet Korean safety standards (caps that American automakers weren’t anywhere close to reaching).

The six-year-old trade deal has allowed both countries to sell more than $60 billion in cars, machinery, and other goods to each other with few restrictions, and South Korea is now America’s sixth-largest trading partner.

However, the Trump administration is unhappy that South Korea has been selling more stuff to Americans than the United States has been selling to South Koreans. Americans love South Korean cars, and cheap steel. That’s largely why the US had a $27 billion goods trade deficit with South Korea in 2016, and Trump decided to renegotiate the trade deal to close the gap. But the new and improved KORUS is hardly revolutionary; it’s basically the same agreement, with a few minor tweaks.

As part of the new deal, the US also agreed to exempt South Korea from its new 25 percent tariff on global steel. Instead, South Korea accepted a quota to limit steel exports to the United States to 70 percent of what it was selling before.

On the surface, the deal seems like a win for the US auto industry, but several experts say it won’t change the fact that South Koreans just don’t want to buy American cars. “It hardly seems like it will have an impact,” says Simon Lester, a trade policy expert at the Cato Institute, a libertarian think tank. “I think [the Trump administration] needed to declare a victory, to just do something and sell it as a win.”

The trade deal comes at a critical moment in US-Korea diplomacy. The South Korean president is trying to broker a denuclearization deal with North Korea, and met with Trump Monday to discuss it during a bilateral meeting in New York City. Moon wants Trump to declare peace with North Korea, but Trump made no public commitment on the matter after his meeting with Moon. Instead, he promised to meet with Kim Jong Un and touted the new trade deal he and Moon were about to sign. It’s “very important,” Trump said, according to a White House pool report. Moon called it “significant.”

Trump wants South Koreans to buy more Chevys. Koreans prefer BMWs.

South Korea is one of America’s closest military allies, but it’s also one of the world’s fastest-growing economies.

When President George W. Bush began negotiating a free trade deal with Seoul in 2006, the idea was to give American companies easy access to South Korea’s growing, affluent consumer market. President Barack Obama continued negotiations, and Congress ratified the pact in 2011. It went into effect a year later. Since then, KORUS has produced mixed results: The US trade deficit with South Korea doubled. Some American industries have expanded and flourished under the deal, but it boosted South Korean exports to America even more."
1,AC_Doc2_Trump-Trade-China.docx,"After four months of negotiation and tit-for-tat threats, Trump’s trade war on China finally broke out on July 7, when a 25 percent tariff began to be levied on $34 billion worth of Chinese goods. But the story does not stop here. The U.S. administration has threatened another $200 billion worth of Chinese imports with a 10 percent tariff.

On the surface, the trade war was directly initiated with a U.S. Trade Representative (USTR) investigation into China’s theft of U.S. companies’ intellectual property. However, a deeper examination reveals a much more complex picture. As early as January of 2018, when the IP theft problem had not fully come to the media’s attention, the Trump administration imposed a 30 percent tariff on imported solar panels, which were mostly made in China. In February, the U.S. Commerce Department initiated investigations on pipe fittings imported from China and anti-dumping duties went into effect. Two weeks later, China’s aluminum foil faced the same fate. These measures eventually led to Trump’s biggest tariff declaration in March. Since then, tension between the world’s two largest economies has escalated, leading up to the start of the trade war in July.

While some observers have dismissed Trump’s trade war as “insane” or “crazy,” it’s important to look beyond such simple characterizations and consider why Trump launched a trade war targeting China at this moment.

First, the context. Historically, the United States has used Section 301 against China five times previously. Each time, the investigation led to a trade dispute, but all five earlier disputes were eventually resolved without resorting to a trade war. Meanwhile, the trade deficit between the United States and China has existed for very long time. What’s more, the trade deficit between the two countries might not be as huge as some claim. According to Oxford Economics, the overall U.S. trade balance with China, as a share of GDP, has remained relatively stable since 2009.

If the trade deficit is not the central issue in the dispute, then what is really driving the trade war? One true target could be China’s high-tech industries, to be more specific, industries identified by China’s “Made in China 2025 Initiative.” This national strategy aims to build up 10 strategically and technologically important sectors such as 5G networks and cybersecurity, high-end precision tools and robotics, and aerospace. Most of these areas are now exclusive domains of Western companies. But China, by launching a national strategy to advance its domestic high-tech sectors, can be seen as posing  a threat to U.S. dominance in these fields. Lorand Laskai, a research assistant at the Council on Foreign Relations, made this clear by writing that the “Made in China 2025” policy is “shaping up to be the central villain, the real existential threat to US technological leadership.”

Second, by launching the trade war, the United States could also be reacting to China’s model of developmental state, which many in the United States see as a threat to the liberal market system. While the Chinese economy is market-driven in numerous ways, many critical components of China’s legacy of planned economy have intentionally been maintained. With this model of developmental state, the Chinese government bolsters lots of industries, including high-tech ones, with subsidies and other types of support. This is widely regarded as a distortion to the market that keeps foreign competitors at a permanent and unfair disadvantage. The trade war, therefore, can be interpreted as an attack on China’s development model."
2,AK_Doc1_President_Donald_Trump_praised.docx,"President Donald Trump praised his Supreme Court pick, Brett Kavanaugh, for his “riveting” testimony during his Senate Judiciary hearing on Thursday night, then demanded, “The Senate must vote!”

But on Friday, answering reporters’ questions as he met with Chilean president Sebastián Piñera, Trump said he’d defer to senators on how they wanted the nomination to play out. “Well, I’m going to let the Senate handle that, they’ll make their decisions,” Trump told reporters. 

The Senate Judiciary voted along party lines Friday to advance Kavanaugh’s nomination, though Sen. Jeff Flake (R-AZ), a key Republican swing vote, has argued for a one-week delay on a floor vote allowing the FBI to investigate allegations against Kavanaugh, including Christine Blasey Ford’s testimony that the Supreme Court nominee sexually assaulted her more than 30 years ago, when they were both in high school. Kavanaugh has denied the allegations.

When asked if Trump would approve a reopening of an FBI investigation into Kavanaugh, Trump said he would rely on lawmakers. That’s going to “be a decision that they’re going to make,” the president said. “And I suspect they’ll be making some decision soon, whether to take a vote, or to do whatever else they want to do.”

“I will be totally reliant on what Sen. Grassley and the group decides to do,” Trump added.

Trump was uncharacteristically measured in his assessment of the tension playing out over the Kavanaugh vote. Trump said he was not considering a replacement for Kavanaugh, but when asked about Republican senators who were undecided about voting for his nominee, he said he didn’t have any message. “They have to do what they think is right,” he said. “They have to be comfortable with themselves.”

Trump also called Ford’s testimony “very compelling and she looks like a very fine woman to me, very fine woman.” He added that she was “very credible.”

Trump lauded Kavanaugh on Twitter after the hearings wrapped Thursday but didn’t mention Ford at all. But even as he offered measured comments about Ford’s testimony, he praised Kavanaugh again. 

“I thought that Brett’s testimony likely was really something that I haven’t seen before — it was incredible. It was an incredible moment in the history of our country.”"
3,AK_Doc2_ Senate_Republicans_have_pushed.docx,"Senate Republicans have pushed Brett Kavanaugh’s Supreme Court nomination past a procedural hurdle, but a confirmation vote remains delayed for at least a week amid a new FBI investigation into allegations of sexual misconduct.

Senate Majority Leader Mitch McConnell announced the move late Friday after a tumultuous day on Capitol Hill.

The leader says all 51 Republican senators supported the motion to proceed with Kavanaugh’s nomination. But it was approved by voice, without a roll call to put senators on record.

In fact, GOP senators were slowing Kavanaugh’s final confirmation for at least a week. President Donald Trump agreed with their request to launch a “supplemental” FBI investigation into the allegations.

McConnell calls Kavanaugh “most qualified and most impressive” and says, “This is a nomination that deserves to move forward.”"
4,ATS_Doc1_White-House-Tells.docx,"The White House authorized the F.B.I. to expand its abbreviated investigation into sexual misconduct allegations against Judge Brett M. Kavanaugh by interviewing anyone it deems necessary as long as the review is finished by the end of the week, according to two people briefed on the matter.

At an event on Monday celebrating a new trade deal with Canada and Mexico, Mr. Trump said he instructed his White House counsel, Donald F. McGahn II, over the weekend to contact the F.B.I. to carry out an open investigation, but the president included the caveat that the inquiry should accommodate the desires of Senate Republicans.

The new directive came after a backlash from Democrats, who criticized the White House for limiting the scope of the bureau’s investigation into Mr. Kavanaugh, President Trump’s nominee for the Supreme Court. The F.B.I. has already interviewed the four witnesses it was originally asked to question, and on Monday it reached out to others.

The broadening inquiry produced an unusual spectacle as friends and classmates from Judge Kavanaugh’s past provided dueling portraits of the nominee in his younger days — either a good-natured student incapable of the alleged behavior or a stumbling drunk who could easily have blacked out and forgotten inappropriate behavior at alcohol-soaked parties.



How far the F.B.I. will now delve into these questions beyond the original high school-era sexual assault allegation lodged by Christine Blasey Ford remained unclear. Senate Democrats sent the bureau a list of list of two dozen witnesses they believed must be interviewed for an inquiry to be credible. Another accuser, Deborah Ramirez, has given the bureau the names of more than 20 people she said witnessed Judge Kavanaugh exposing himself to her in college or heard about it at the time or later, according to someone involved in the investigation.

Mr. Trump said on Monday that he wanted a “comprehensive” F.B.I. investigation and had no problem if the bureau wanted to question Judge Kavanaugh or even a third accuser who was left off the initial witness list, if she seemed credible. His only concerns he said, were that the investigation be wrapped up quickly and that it take direction from the Senate Republicans who will determine whether Judge Kavanaugh is confirmed.

“The F.B.I. should interview anybody that they want within reason, but you have to say within reason,” Mr. Trump told reporters in the Rose Garden. “But they should also be guided, and I’m being guided, by what the senators are looking for.”

Senate Republican leaders made clear that they did not expect the investigation to prevent them from confirming Judge Kavanaugh. Senator Mitch McConnell, Republican of Kentucky and the majority leader, said the Senate would take a procedural vote on Friday so it could move quickly to final confirmation by the weekend or early next week.

Chastising Democrats on the Senate floor, Mr. McConnell said that he would “bet almost anything” that they would be unsatisfied with the scope of the investigation, regardless of how far it went. Reading through a selected summary of Democrats’ comments about the matter, he said, “Do these actions suggest this has ever been about finding the truth?”"
5,ATS_Doc2_Yale-Classmate-to-Tell.docx,"The FBI's contact with Charles Ludington, a classmate of Brett Kavanaugh at Yale, is a new development in its background investigation.

Charles Ludington, a classmate of Supreme Court nominee Brett Kavanaugh at Yale University, will provide information to the FBI on Monday, he confirmed to NBC News.

News of Ludington's involvement was first reported by The Washington Post, which said he planned to give a statement to the FBI at its field office in Raleigh, North Carolina, ""detailing violent drunken behavior by Kavanaugh in college.""

In a copy of his statement given to The Post, Ludington, a professor at North Carolina State University, described Kavanaugh as a ""belligerent and aggressive"" drunk.

""On one of the last occasions I purposely socialized with Brett, I witnessed him respond to a semi-hostile remark, not by defusing the situation, but by throwing his beer in the man's face and starting a fight that ended with one of our mutual friends in jail,"" the statement said.

During his Senate Judiciary Committee hearing last week, Kavanaugh was repeatedly asked about his drinking habits in high school and college and denied having a problem.

In his statement, however, Ludington wrote that ""if he lied about his past actions on national television, and more especially while speaking under oath in front of the United States Senate, I believe those lies should have consequences.""

On Sunday, a member of Ford's legal team told NBC News that Christine Blasey Ford, one of Kavanaugh's accusers, and her lawyers have not been contacted by the FBI in the days since President Donald Trump ordered on Friday a supplemental FBI background investigation into the sexual misconduct allegations she and others have made against Kavanaugh.

A senior U.S. official confirms to NBC News that the White House counsel's office directed the FBI to interview the following witness list of four: Kavanaugh friends Mark Judge and P.J. Smyth, Leland Keyser, a friend of Ford's who Ford says was at the party, and Deborah Ramirez, who accused Kavanaugh of exposing himself to her when they were both students at Yale University.

While the FBI will examine the allegations of Ford and Ramirez, Julie Swetnick, who has accused Kavanaugh of engaging in sexual misconduct at parties while he was a student at Georgetown Preparatory School in the 1980s, isn't on the list of those to be interviewed by the agency, people familiar with the investigation told NBC News.

Nothing prevents the FBI from talking to witnesses who come forward, such as Ludington. But it's not clear what, if anything, the FBI can do with the information he provides, given that Kavanaugh's drinking at Yale is not an issue the White House has authorized the FBI to investigate.

Sen. Susan Collins, R-Maine, an undecided vote on Kavanaugh who supported calls for a renewed FBI investigation, told NBC News in a statement Monday that she is ""confident that the FBI will follow up on any leads that result from the interviews."""
6,CMM_Doc1_Its-Complete-Folly_googleDrive.docx,"Former Defense Secretary Chuck Hagel on Thursday sharply criticized tough talk on Iran from senior Trump administration officials determined to ouster regime-backed forces from Syria.



“The U.S. doesn’t even control half of Syria. You’ve got 2,000 [U.S.] troops up in the northeast corner. I mean, come on, you’re not going to drive Iranians out of Syria with 2,000 American troops,” Hagel said in an interview with Defense One. “It’s complete folly to think you’re going to threaten the Syrians or the Russians or the Iranians into anything.



“The Iranians live there,” he continued. “The U.S. doesn’t live in the Middle East. Unless you’re going to somehow eliminate the geopolitical realities of that—well, good luck Mr. Bolton. There is no other way around this, you’re going to have to find some resolution based on the common interests of those countries.”



Hagel’s criticism comes at a moment of intense scrutiny of the Trump administration’s strategy to box in Tehran, an objective that officials have made a cornerstone of the president’s foreign policy in the region. National Security Advisor John Bolton last week ignited speculation that the Trump administration may be beginning to lay out legal justifications for military strikes against Iranian or Iran-backed fighters when he told reporters at the United Nations General Assembly in New York that the U.S. would maintain its presence in Syria as long as Iran-backed forces were present in the country — an apparent policy shift that appeared to reverse years of Pentagon assertions that U.S. forces are only there to fight ISIS.

“This is not the Obama administration, would be my message to Iran and anybody else,” Bolton told reporters at the White House later on Thursday while rolling out the Trump administration’s new counterterrorism strategy, which makes Iran a focus.



Hagel scoffed at the notion that the presence of 2,000 U.S. troops in Syria would be sufficient to ensure the departure of the thousands of Iran-backed fighters and proxy militia leaders operating in support of Syrian President Bashar al-Assad’s regime.



“You tell me what the foreign policy objective is to using 2,000 American troops stationed in Syria and then I’ll give you an answer. I don’t know what our foreign policy objective is in the Middle East or almost anywhere else,” Hagel said.



“How do you accomplish some stability in Syria?…You’re not going to do that without the Russians, without the Iranians, without the other players in the country, in the region.”



So what is U.S. policy in the Middle East?



If you ask Hagel — one of the Senate’s top Republican foreign policy leaders from 1997 to 2009 and later defense secretary for President Barack Obama — there doesn’t appear to be one.



Hagel argued the administration’s recent decision to remove four Patriot missile batteries from key Gulf allies, did not square with the Trump administration’s tough-on-Iran rhetoric.."
7,CMM_Doc2_Trump-Officials-Target_googleDrive.docx,"Trump administration officials escalated their campaign to counter Iran in a slate of diplomatic announcements on Wednesday, punctuating a week of warnings that have ratcheted up bilateral tension and further fueled speculation that the United States is inching closer to an armed conflict with Tehran or its proxies’ fighters in the Middle East.

The imbroglio began a week ago on the sidelines of the United Nations General Assembly’s annual opening session in New York.

For years, the Pentagon has claimed that U.S. troops are in Syria for one purpose: to fight the Islamic State. Officials insist that American forces are not there to fight in the ongoing civil war in that country, which for eight years has been fought by a tangled web of foreign alliances that includes thousands of Iranian and Russian fighters backing President Bashar al-Assad’s regime.

But a series of tough-on-Iran remarks from National Security Advisor John Bolton raised questions about whether the military’s mission in Syria and beyond is expanding to include countering Tehran.

Bolton told reporters that the U.S. would not be leaving Syria “as long as Iranian troops are outside Iranian borders.” In separate prepared remarks, he vowed that the U.S.“will come after you” if Tehran continues to “cross” the U.S.

“The murderous regime and its supporters will face significant consequences if they do not change their behavior,” said Bolton. “Let my message today be clear: We are watching, and we will come after you.”

On Wednesday, Secretary of State Mike Pompeo blamed Iran for threats on American personnel in Iraq and withdrew from an Eisenhower-era “treaty of amity” with Tehran that has been used by both countries as the basis for resolving claims in the International Court of Justice.  

“Iran is the origin of the current threat to Americans in Iraq,” Pompeo told reporters, days after he announced the closure of the U.S. mission in Basra following a rocket attack on the facility. “Our intelligence in this regard is solid. We can see the hand of the ayatollah and his henchmen supporting these attacks on the United States.”

The Trump administration has made constraining Iranian influence in the Middle East a core pillar of its foreign policy in the region. In a dramatic press conference a few weeks into his presidency, then-national security advisor Michael Flynn announced that the administration was “officially putting Iran on notice”—with little explanation of the practical impact of that announcement. In May, President Donald Trump withdrew from the so-called Iran nuclear deal, which traded sanctions relief for curbs on Iran’s nuclear weapons development program; the full weight of the re-imposed sanctions will flip on in November.

The U.S. is involved in several conflicts beyond Syria where Iran-aligned forces also are active.

In the ongoing civil war in Yemen, the Pentagon is providing intelligence and targeting support to the Saudi-UAE coalition battling the Iranian-backed Houthi rebels."
8,EYM_Doc1_Trumps-Immigration-Reversal.docx,"Trump's immigration reversal creates its own chaos

The White House is scrambling to fix the confusion and humanitarian concerns unleashed by President Donald Trump's reversal on the separation of parents and children who come across the southern border as undocumented migrants.

Trump's hurried executive order designed to defuse a ballooning political crisis caused its own set of problems, especially because the move did nothing for the 2,300 children already taken from parents who are awaiting prosecution.

A set of legal challenges was also looming for the Trump administration which in one scenario could even allowed end up seeing the separations reapplied.

The chaos meant that Trump's hopes of quelling the political uproar over the separations were dashed. The uncertainty could deepen later Thursday if the House of Representatives fails to pass two Republican immigration bills that could partially alleviate the separations drama.

Homeland Security Secretary Kirstjen Nielsen responded to a wave of criticism by saying Thursday that the administration was trying to reunite split families.

""We have a plan to do that, as you know we do it on the back end. So a combination of DHS, DOJ, HHS reuniting as quickly as we can,"" Nielsen told CNN's Tal Kopan.

CNN reported Wednesday that the order did not contain any procedures for how to reunite children now in the care of the federal government with their parents. The agency later walked back the statement but said any further plans to reunite families were still in development.

""I think the intention was to change things (but) I think there is a lot of confusion. Frankly, I think the way the order is drafted is not executable,"" John Sandweg, a former director of US Immigration and Customs Enforcement, told CNN's Anderson Cooper.

""I was really shocked to see they are not going to unite the kids. I thought the whole point of this was to reunite the kids,"" he said.

Trump's critics accused him of creating the problem by adopting a ""zero-tolerance"" policy of prosecuting undocumented migrants which meant brought into play restrictions on children being held in jail with their parents, thereby triggering the separations.

Trump unlikely to shift

	Immigration was the foundational issue of Trump's 2016 campaign and it forms the essential link between the President and his base. So while his retreat is embarrassing, it's unlikely to signal any softening of his broader stance on undocumented immigrants.

	Thursday morning he continued to express his displeasure with current immigration laws and mislead about the state of US immigration courts.

	While the President was campaigning Wednesday night, his critics accused him of solving the problem of separations by simply ordering the locking up of entire families indefinitely.

	""When you have the most powerful nation on Earth saying that it is acceptable to detain families indefinitely, you are sending a signal to countries around the world that this is how they can treat immigrants and minorities,"" said Sen. Bernie Sanders, an independent from Vermont."
9,EYM_Doc2_What-Trumps-Family.docx,"What Trump's family separations executive order does

President Donald Trump on Wednesday reversed course after days of digging in on a policy that resulted in immigrant family separations at the border, signing an executive order that will keep far more families together at the border.

The order also seeks more authority to detain those families together until the end of their immigration proceedings. That process will begin immediately, which is likely to be met with swift legal challenges, though the order does acknowledge that current law may restrict their hands.

But there are no new special procedures for children already in custody, according to the Department of Health and Human Services.

It's a reversal from days of claiming that, in its decision to refer all adults crossing the border illegally for criminal charges and thus sending them away from their kids and into the hands of the Justice Department, the administration had no choice but to separate families.

Here is what the executive order does:

Keeps families together, for the most part

The executive order states it is the policy of the administration ""to maintain family unity,"" a new position from the administration. 

While the Justice Department will continue to prosecute adults who cross the border illegally in federal court, the order says, Trump asks that families be housed together ""where appropriate and consistent with law and available resources.""

It was not immediately clear whether the caveats would still result in a substantial number of separations.

Keeps families with DHS

In a major change, adults will not be turned over to the Justice Department when they face criminal charges, and will instead stay with their children in detention with the Department of Homeland Security.

But there's a catch, saying the families will be detained ""extent permitted by law and subject to the availability of appropriations"" -- again something that remains to be worked out.

Doesn't reunite families already separated

The order does not speak to any families that have already been separated -- and existing policies place the onus on parents to find their children in HHS custody and seek to reunite with them.

Later Wednesday, HHS' families division's senior director of communications put out a statement that Wolfe ""misspoke,"" but didn't articulate any changes yet to plans for separated families.

Jumps families to the front of the line in court

In the order, Trump also makes an effort to have families' cases in immigration courts decided more rapidly.

In order to expedite the process for deporting the family or giving them legal status, Trump orders the Justice Department to ""prioritize"" cases"" involving detained families"" -- presumably jumping them in line at immigration court and cutting down substantially the length of time before a judge hears their case.

Seeks indefinite detention

Though the order does not immediately attempt to flout a court settlement that requires children who come with family to be released from detention within three weeks, it does initiate a process to challenge that settlement.

Trump set up a likely lengthy and intense litigation process that would seek the power to detain families in government custody indefinitely."
